Canton;Annee;Parti;Suffrage_en_pourcent
Suisse;2019;PLR;15.11
Suisse;2019;PDC;11.38
Suisse;2019;PS;16.84
Suisse;2019;UDC;25.59
Suisse;2019;PL;
Suisse;2019;AdI;
Suisse;2019;PEV;2.08
Suisse;2019;PCS;0.26
Suisse;2019;PVL;7.8
Suisse;2019;PBD;2.44
Suisse;2019;PST;0.59
Suisse;2019;PSA;
Suisse;2019;POCH;
Suisse;2019;PES;13.2
Suisse;2019;AVF;0.32
Suisse;2019;Sol.;0.46
Suisse;2019;Rép.;
Suisse;2019;DS;0.13
Suisse;2019;UDF;1
Suisse;2019;PSL;
Suisse;2019;Lega;0.75
Suisse;2019;MCR;0.22
Suisse;2019;Sép.;
Suisse;2019;Autres;1.84
Suisse;2015;PLR;16.4
Suisse;2015;PDC;11.65
Suisse;2015;PS;18.84
Suisse;2015;UDC;29.39
Suisse;2015;PL;
Suisse;2015;AdI;
Suisse;2015;PEV;1.89
Suisse;2015;PCS;0.21
Suisse;2015;PVL;4.63
Suisse;2015;PBD;4.1
Suisse;2015;PST;0.4
Suisse;2015;PSA;
Suisse;2015;POCH;
Suisse;2015;PES;7.06
Suisse;2015;AVF;0.36
Suisse;2015;Sol.;0.46
Suisse;2015;Rép.;
Suisse;2015;DS;0.12
Suisse;2015;UDF;1.19
Suisse;2015;PSL;
Suisse;2015;Lega;1
Suisse;2015;MCR;0.32
Suisse;2015;Sép.;
Suisse;2015;Autres;2
Suisse;2011;PLR;15.1
Suisse;2011;PDC;12.3
Suisse;2011;PS;18.72
Suisse;2011;UDC;26.56
Suisse;2011;PL;
Suisse;2011;AdI;
Suisse;2011;PEV;2
Suisse;2011;PCS;0.26
Suisse;2011;PVL;5.38
Suisse;2011;PBD;5.42
Suisse;2011;PST;0.54
Suisse;2011;PSA;
Suisse;2011;POCH;
Suisse;2011;PES;8.43
Suisse;2011;AVF;0.32
Suisse;2011;Sol.;0.34
Suisse;2011;Rép.;
Suisse;2011;DS;0.2
Suisse;2011;UDF;1.27
Suisse;2011;PSL;
Suisse;2011;Lega;0.8
Suisse;2011;MCR;0.44
Suisse;2011;Sép.;
Suisse;2011;Autres;1.91
Suisse;2007;PLR;15.76
Suisse;2007;PDC;14.48
Suisse;2007;PS;19.55
Suisse;2007;UDC;28.9
Suisse;2007;PL;1.85
Suisse;2007;AdI;
Suisse;2007;PEV;2.44
Suisse;2007;PCS;0.43
Suisse;2007;PVL;1.43
Suisse;2007;PBD;
Suisse;2007;PST;0.73
Suisse;2007;PSA;
Suisse;2007;POCH;
Suisse;2007;PES;9.59
Suisse;2007;AVF;0.2
Suisse;2007;Sol.;0.38
Suisse;2007;Rép.;
Suisse;2007;DS;0.53
Suisse;2007;UDF;1.28
Suisse;2007;PSL;0.1
Suisse;2007;Lega;0.58
Suisse;2007;MCR;0.12
Suisse;2007;Sép.;
Suisse;2007;Autres;1.66
Suisse;2003;PLR;17.34
Suisse;2003;PDC;14.36
Suisse;2003;PS;23.33
Suisse;2003;UDC;26.65
Suisse;2003;PL;2.19
Suisse;2003;AdI;
Suisse;2003;PEV;2.27
Suisse;2003;PCS;0.36
Suisse;2003;PVL;
Suisse;2003;PBD;
Suisse;2003;PST;0.7
Suisse;2003;PSA;
Suisse;2003;POCH;
Suisse;2003;PES;7.43
Suisse;2003;AVF;0.53
Suisse;2003;Sol.;0.51
Suisse;2003;Rép.;
Suisse;2003;DS;0.96
Suisse;2003;UDF;1.26
Suisse;2003;PSL;0.19
Suisse;2003;Lega;0.35
Suisse;2003;MCR;
Suisse;2003;Sép.;0.26
Suisse;2003;Autres;1.3
Suisse;1999;PLR;19.92
Suisse;1999;PDC;15.85
Suisse;1999;PS;22.47
Suisse;1999;UDC;22.54
Suisse;1999;PL;2.26
Suisse;1999;AdI;0.74
Suisse;1999;PEV;1.83
Suisse;1999;PCS;0.42
Suisse;1999;PVL;
Suisse;1999;PBD;
Suisse;1999;PST;0.96
Suisse;1999;PSA;
Suisse;1999;POCH;
Suisse;1999;PES;4.97
Suisse;1999;AVF;0.32
Suisse;1999;Sol.;0.47
Suisse;1999;Rép.;
Suisse;1999;DS;1.84
Suisse;1999;UDF;1.25
Suisse;1999;PSL;0.87
Suisse;1999;Lega;0.88
Suisse;1999;MCR;
Suisse;1999;Sép.;
Suisse;1999;Autres;2.41
Suisse;1995;PLR;20.18
Suisse;1995;PDC;16.79
Suisse;1995;PS;21.79
Suisse;1995;UDC;14.9
Suisse;1995;PL;2.69
Suisse;1995;AdI;1.83
Suisse;1995;PEV;1.79
Suisse;1995;PCS;0.3
Suisse;1995;PVL;
Suisse;1995;PBD;
Suisse;1995;PST;1.2
Suisse;1995;PSA;
Suisse;1995;POCH;
Suisse;1995;PES;5.04
Suisse;1995;AVF;1.47
Suisse;1995;Sol.;0.32
Suisse;1995;Rép.;
Suisse;1995;DS;3.13
Suisse;1995;UDF;1.3
Suisse;1995;PSL;3.97
Suisse;1995;Lega;0.94
Suisse;1995;MCR;
Suisse;1995;Sép.;0.21
Suisse;1995;Autres;2.15
Suisse;1991;PLR;20.99
Suisse;1991;PDC;18
Suisse;1991;PS;18.49
Suisse;1991;UDC;11.9
Suisse;1991;PL;3.04
Suisse;1991;AdI;2.83
Suisse;1991;PEV;1.89
Suisse;1991;PCS;0.39
Suisse;1991;PVL;
Suisse;1991;PBD;
Suisse;1991;PST;0.78
Suisse;1991;PSA;0.59
Suisse;1991;POCH;0.22
Suisse;1991;PES;6.07
Suisse;1991;AVF;1.25
Suisse;1991;Sol.;
Suisse;1991;Rép.;
Suisse;1991;DS;3.39
Suisse;1991;UDF;1
Suisse;1991;PSL;5.07
Suisse;1991;Lega;1.38
Suisse;1991;MCR;
Suisse;1991;Sép.;0.26
Suisse;1991;Autres;2.46
Suisse;1987;PLR;22.93
Suisse;1987;PDC;19.58
Suisse;1987;PS;18.42
Suisse;1987;UDC;11.02
Suisse;1987;PL;2.72
Suisse;1987;AdI;4.17
Suisse;1987;PEV;1.93
Suisse;1987;PCS;0.3
Suisse;1987;PVL;
Suisse;1987;PBD;
Suisse;1987;PST;0.8
Suisse;1987;PSA;0.56
Suisse;1987;POCH;1.26
Suisse;1987;PES;4.88
Suisse;1987;AVF;2.4
Suisse;1987;Sol.;
Suisse;1987;Rép.;0.35
Suisse;1987;DS;2.54
Suisse;1987;UDF;0.92
Suisse;1987;PSL;2.6
Suisse;1987;Lega;
Suisse;1987;MCR;
Suisse;1987;Sép.;0.15
Suisse;1987;Autres;2.46
Suisse;1983;PLR;23.33
Suisse;1983;PDC;20.22
Suisse;1983;PS;22.84
Suisse;1983;UDC;11.08
Suisse;1983;PL;2.82
Suisse;1983;AdI;3.99
Suisse;1983;PEV;2.08
Suisse;1983;PCS;0.4
Suisse;1983;PVL;
Suisse;1983;PBD;
Suisse;1983;PST;0.89
Suisse;1983;PSA;0.51
Suisse;1983;POCH;2.23
Suisse;1983;PES;1.89
Suisse;1983;AVF;1.02
Suisse;1983;Sol.;
Suisse;1983;Rép.;0.52
Suisse;1983;DS;2.94
Suisse;1983;UDF;0.39
Suisse;1983;PSL;
Suisse;1983;Lega;
Suisse;1983;MCR;
Suisse;1983;Sép.;0.34
Suisse;1983;Autres;2.49
Suisse;1979;PLR;24.01
Suisse;1979;PDC;21.29
Suisse;1979;PS;24.44
Suisse;1979;UDC;11.6
Suisse;1979;PL;2.8
Suisse;1979;AdI;4.07
Suisse;1979;PEV;2.22
Suisse;1979;PCS;
Suisse;1979;PVL;
Suisse;1979;PBD;
Suisse;1979;PST;2.08
Suisse;1979;PSA;0.44
Suisse;1979;POCH;1.7
Suisse;1979;PES;0.63
Suisse;1979;AVF;0.18
Suisse;1979;Sol.;
Suisse;1979;Rép.;0.63
Suisse;1979;DS;1.32
Suisse;1979;UDF;0.25
Suisse;1979;PSL;
Suisse;1979;Lega;
Suisse;1979;MCR;
Suisse;1979;Sép.;0.46
Suisse;1979;Autres;1.88
Suisse;1975;PLR;22.21
Suisse;1975;PDC;21.09
Suisse;1975;PS;24.87
Suisse;1975;UDC;9.94
Suisse;1975;PL;2.45
Suisse;1975;AdI;6.07
Suisse;1975;PEV;1.97
Suisse;1975;PCS;0.15
Suisse;1975;PVL;
Suisse;1975;PBD;
Suisse;1975;PST;2.37
Suisse;1975;PSA;0.35
Suisse;1975;POCH;0.99
Suisse;1975;PES;0.06
Suisse;1975;AVF;
Suisse;1975;Sol.;
Suisse;1975;Rép.;2.96
Suisse;1975;DS;2.47
Suisse;1975;UDF;0.35
Suisse;1975;PSL;
Suisse;1975;Lega;
Suisse;1975;MCR;
Suisse;1975;Sép.;0.32
Suisse;1975;Autres;1.38
Suisse;1971;PLR;21.81
Suisse;1971;PDC;20.33
Suisse;1971;PS;22.9
Suisse;1971;UDC;11.07
Suisse;1971;PL;2.19
Suisse;1971;AdI;7.63
Suisse;1971;PEV;2.15
Suisse;1971;PCS;0.3
Suisse;1971;PVL;
Suisse;1971;PBD;
Suisse;1971;PST;2.58
Suisse;1971;PSA;0.26
Suisse;1971;POCH;0.09
Suisse;1971;PES;
Suisse;1971;AVF;
Suisse;1971;Sol.;
Suisse;1971;Rép.;4.25
Suisse;1971;DS;3.2
Suisse;1971;UDF;
Suisse;1971;PSL;
Suisse;1971;Lega;
Suisse;1971;MCR;
Suisse;1971;Sép.;
Suisse;1971;Autres;1.23
