Canton	Annee	Parti	Electeurs fictifs	Suffrage en pourcent
Suisse	2019	PLR	366313	15.11
Suisse	2019	PDC	275855	11.38
Suisse	2019	PS	408134	16.84
Suisse	2019	UDC	620350	25.59
Suisse	2019	PL		
Suisse	2019	AdI		
Suisse	2019	PEV	50317	2.08
Suisse	2019	PCS	6238	0.26
Suisse	2019	PVL	189162	7.8
Suisse	2019	PBD	59206	2.44
Suisse	2019	PST	14231	0.59
Suisse	2019	PSA		
Suisse	2019	POCH		
Suisse	2019	PES	319997	13.2
Suisse	2019	AVF	7709	0.32
Suisse	2019	Sol.	11197	0.46
Suisse	2019	Rép.		
Suisse	2019	DS	3202	0.13
Suisse	2019	UDF	24147	1
Suisse	2019	PSL		
Suisse	2019	Lega	18197	0.75
Suisse	2019	MCR	5338	0.22
Suisse	2019	Sép.		
Suisse	2019	Autres	44667	1.84
Suisse	2015	PLR	413445	16.4
Suisse	2015	PDC	293652	11.65
Suisse	2015	PS	475074	18.84
Suisse	2015	UDC	740967	29.39
Suisse	2015	PL		
Suisse	2015	AdI		
Suisse	2015	PEV	47770	1.89
Suisse	2015	PCS	5272	0.21
Suisse	2015	PVL	116640	4.63
Suisse	2015	PBD	103476	4.1
Suisse	2015	PST	10099	0.4
Suisse	2015	PSA		
Suisse	2015	POCH		
Suisse	2015	PES	177944	7.06
Suisse	2015	AVF	8951	0.36
Suisse	2015	Sol.	11475	0.46
Suisse	2015	Rép.		
Suisse	2015	DS	3079	0.12
Suisse	2015	UDF	29939	1.19
Suisse	2015	PSL		
Suisse	2015	Lega	25221	1
Suisse	2015	MCR	8184	0.32
Suisse	2015	Sép.		
Suisse	2015	Autres	50311	2
Suisse	2011	PLR	368951	15.1
Suisse	2011	PDC	300544	12.3
Suisse	2011	PS	457317	18.72
Suisse	2011	UDC	648676	26.56
Suisse	2011	PL		
Suisse	2011	AdI		
Suisse	2011	PEV	48789	2
Suisse	2011	PCS	6248	0.26
Suisse	2011	PVL	131436	5.38
Suisse	2011	PBD	132279	5.42
Suisse	2011	PST	13215	0.54
Suisse	2011	PSA		
Suisse	2011	POCH		
Suisse	2011	PES	205984	8.43
Suisse	2011	AVF	7900	0.32
Suisse	2011	Sol.	8268	0.34
Suisse	2011	Rép.		
Suisse	2011	DS	4893	0.2
Suisse	2011	UDF	31056	1.27
Suisse	2011	PSL		
Suisse	2011	Lega	19657	0.8
Suisse	2011	MCR	10714	0.44
Suisse	2011	Sép.		
Suisse	2011	Autres	46723	1.91
Suisse	2007	PLR	367302	15.76
Suisse	2007	PDC	337413	14.48
Suisse	2007	PS	455501	19.55
Suisse	2007	UDC	673407	28.9
Suisse	2007	PL	43168	1.85
Suisse	2007	AdI		
Suisse	2007	PEV	56908	2.44
Suisse	2007	PCS	10107	0.43
Suisse	2007	PVL	33258	1.43
Suisse	2007	PBD		
Suisse	2007	PST	17063	0.73
Suisse	2007	PSA		
Suisse	2007	POCH		
Suisse	2007	PES	223393	9.59
Suisse	2007	AVF	4602	0.2
Suisse	2007	Sol.	8849	0.38
Suisse	2007	Rép.		
Suisse	2007	DS	12459	0.53
Suisse	2007	UDF	29851	1.28
Suisse	2007	PSL	2317	0.1
Suisse	2007	Lega	13465	0.58
Suisse	2007	MCR	2692	0.12
Suisse	2007	Sép.		
Suisse	2007	Autres	38627	1.66
Suisse	2003	PLR	368308	17.34
Suisse	2003	PDC	304995	14.36
Suisse	2003	PS	495537	23.33
Suisse	2003	UDC	566069	26.65
Suisse	2003	PL	46574	2.19
Suisse	2003	AdI		
Suisse	2003	PEV	48283	2.27
Suisse	2003	PCS	7643	0.36
Suisse	2003	PVL		
Suisse	2003	PBD		
Suisse	2003	PST	14840	0.7
Suisse	2003	PSA		
Suisse	2003	POCH		
Suisse	2003	PES	157917	7.43
Suisse	2003	AVF	11202	0.53
Suisse	2003	Sol.	10734	0.51
Suisse	2003	Rép.		
Suisse	2003	DS	20358	0.96
Suisse	2003	UDF	26854	1.26
Suisse	2003	PSL	4044	0.19
Suisse	2003	Lega	7463	0.35
Suisse	2003	MCR		
Suisse	2003	Sép.	5590	0.26
Suisse	2003	Autres	27630	1.3
Suisse	1999	PLR	392423	19.92
Suisse	1999	PDC	312363	15.85
Suisse	1999	PS	442798	22.47
Suisse	1999	UDC	444181	22.54
Suisse	1999	PL	44533	2.26
Suisse	1999	AdI	14567	0.74
Suisse	1999	PEV	36017	1.83
Suisse	1999	PCS	8326	0.42
Suisse	1999	PVL		
Suisse	1999	PBD		
Suisse	1999	PST	18878	0.96
Suisse	1999	PSA		
Suisse	1999	POCH		
Suisse	1999	PES	97855	4.97
Suisse	1999	AVF	6294	0.32
Suisse	1999	Sol.	9311	0.47
Suisse	1999	Rép.		
Suisse	1999	DS	36222	1.84
Suisse	1999	UDF	24629	1.25
Suisse	1999	PSL	17062	0.87
Suisse	1999	Lega	17291	0.88
Suisse	1999	MCR		
Suisse	1999	Sép.		
Suisse	1999	Autres	47558	2.41
Suisse	1995	PLR	384515	20.18
Suisse	1995	PDC	319972	16.79
Suisse	1995	PS	415226	21.79
Suisse	1995	UDC	283902	14.9
Suisse	1995	PL	51182	2.69
Suisse	1995	AdI	34801	1.83
Suisse	1995	PEV	34071	1.79
Suisse	1995	PCS	5625	0.3
Suisse	1995	PVL		
Suisse	1995	PBD		
Suisse	1995	PST	22850	1.2
Suisse	1995	PSA		
Suisse	1995	POCH		
Suisse	1995	PES	96069	5.04
Suisse	1995	AVF	28076	1.47
Suisse	1995	Sol.	6168	0.32
Suisse	1995	Rép.		
Suisse	1995	DS	59613	3.13
Suisse	1995	UDF	24795	1.3
Suisse	1995	PSL	75641	3.97
Suisse	1995	Lega	17940	0.94
Suisse	1995	MCR		
Suisse	1995	Sép.	3948	0.21
Suisse	1995	Autres	40929	2.15
Suisse	1991	PLR	429072	20.99
Suisse	1991	PDC	367928	18
Suisse	1991	PS	377968	18.49
Suisse	1991	UDC	243268	11.9
Suisse	1991	PL	62073	3.04
Suisse	1991	AdI	57819	2.83
Suisse	1991	PEV	38681	1.89
Suisse	1991	PCS	8039	0.39
Suisse	1991	PVL		
Suisse	1991	PBD		
Suisse	1991	PST	15871	0.78
Suisse	1991	PSA	12006	0.59
Suisse	1991	POCH	4552	0.22
Suisse	1991	PES	124149	6.07
Suisse	1991	AVF	25605	1.25
Suisse	1991	Sol.		
Suisse	1991	Rép.		
Suisse	1991	DS	69297	3.39
Suisse	1991	UDF	20395	1
Suisse	1991	PSL	103585	5.07
Suisse	1991	Lega	28290	1.38
Suisse	1991	MCR		
Suisse	1991	Sép.	5258	0.26
Suisse	1991	Autres	50245	2.46
Suisse	1987	PLR	443617	22.93
Suisse	1987	PDC	378822	19.58
Suisse	1987	PS	356266	18.42
Suisse	1987	UDC	213253	11.02
Suisse	1987	PL	52532	2.72
Suisse	1987	AdI	80691	4.17
Suisse	1987	PEV	37265	1.93
Suisse	1987	PCS	5889	0.3
Suisse	1987	PVL		
Suisse	1987	PBD		
Suisse	1987	PST	15528	0.8
Suisse	1987	PSA	10879	0.56
Suisse	1987	POCH	24343	1.26
Suisse	1987	PES	94378	4.88
Suisse	1987	AVF	46405	2.4
Suisse	1987	Sol.		
Suisse	1987	Rép.	6769	0.35
Suisse	1987	DS	49104	2.54
Suisse	1987	UDF	17830	0.92
Suisse	1987	PSL	50372	2.6
Suisse	1987	Lega		
Suisse	1987	MCR		
Suisse	1987	Sép.	2845	0.15
Suisse	1987	Autres	47661	2.46
Suisse	1983	PLR	457283	23.33
Suisse	1983	PDC	396281	20.22
Suisse	1983	PS	447634	22.84
Suisse	1983	UDC	217166	11.08
Suisse	1983	PL	55326	2.82
Suisse	1983	AdI	78292	3.99
Suisse	1983	PEV	40837	2.08
Suisse	1983	PCS	7808	0.4
Suisse	1983	PVL		
Suisse	1983	PBD		
Suisse	1983	PST	17488	0.89
Suisse	1983	PSA	9962	0.51
Suisse	1983	POCH	43694	2.23
Suisse	1983	PES	37079	1.89
Suisse	1983	AVF	20063	1.02
Suisse	1983	Sol.		
Suisse	1983	Rép.	10148	0.52
Suisse	1983	DS	57592	2.94
Suisse	1983	UDF	7590	0.39
Suisse	1983	PSL		
Suisse	1983	Lega		
Suisse	1983	MCR		
Suisse	1983	Sép.	6703	0.34
Suisse	1983	Autres	48895	2.49
Suisse	1979	PLR	440099	24.01
Suisse	1979	PDC	390281	21.29
Suisse	1979	PS	447990	24.44
Suisse	1979	UDC	212705	11.6
Suisse	1979	PL	51258	2.8
Suisse	1979	AdI	74623	4.07
Suisse	1979	PEV	40744	2.22
Suisse	1979	PCS		
Suisse	1979	PVL		
Suisse	1979	PBD		
Suisse	1979	PST	38187	2.08
Suisse	1979	PSA	8147	0.44
Suisse	1979	POCH	31128	1.7
Suisse	1979	PES	11583	0.63
Suisse	1979	AVF	3236	0.18
Suisse	1979	Sol.		
Suisse	1979	Rép.	11587	0.63
Suisse	1979	DS	24257	1.32
Suisse	1979	UDF	4626	0.25
Suisse	1979	PSL		
Suisse	1979	Lega		
Suisse	1979	MCR		
Suisse	1979	Sép.	8344	0.46
Suisse	1979	Autres	34396	1.88
Suisse	1975	PLR	428919	22.21
Suisse	1975	PDC	407286	21.09
Suisse	1975	PS	480396	24.87
Suisse	1975	UDC	192053	9.94
Suisse	1975	PL	47256	2.45
Suisse	1975	AdI	117217	6.07
Suisse	1975	PEV	37959	1.97
Suisse	1975	PCS	2883	0.15
Suisse	1975	PVL		
Suisse	1975	PBD		
Suisse	1975	PST	45799	2.37
Suisse	1975	PSA	6706	0.35
Suisse	1975	POCH	19173	0.99
Suisse	1975	PES	1246	0.06
Suisse	1975	AVF		
Suisse	1975	Sol.		
