"","NbCant","Période","NomCant","Mois","NumBranche","Front_F_Branche","Emplois","Part"
"1",24,"2002Q3","Neuchâtel",2002-09-01,"A 01-03 - Secteur primaire",60.1,NA,NA
"2",24,"2002Q3","Neuchâtel",2002-09-01,"A-U 01-99 Total",4881.2,NA,NA
"3",24,"2002Q3","Neuchâtel",2002-09-01,"B 05-09 > Industries extractives",0,NA,NA
"4",24,"2002Q3","Neuchâtel",2002-09-01,"B-F 05-43 - Secteur secondaire",3236.5,NA,NA
"5",24,"2002Q3","Neuchâtel",2002-09-01,"C 10-33 > Industrie manufacturière",3012,NA,NA
"6",24,"2002Q3","Neuchâtel",2002-09-01,"CA 10-12 ..... Industries alimentaires et du tabac",38.9,NA,NA
"7",24,"2002Q3","Neuchâtel",2002-09-01,"CB 13-15 ..... Industries du textile et de l’habillement",44.1,NA,NA
"8",24,"2002Q3","Neuchâtel",2002-09-01,"CC 16-18 ..... Industries du bois et du papier ; imprimerie",64.9,NA,NA
"9",24,"2002Q3","Neuchâtel",2002-09-01,"CD,CE 19-20 ..... Cokéfaction, raffinage et industrie chimique",15.7,NA,NA
"10",24,"2002Q3","Neuchâtel",2002-09-01,"CF 21 ..... Industrie pharmaceutique",11.8,NA,NA
"11",24,"2002Q3","Neuchâtel",2002-09-01,"CG 22-23 ..... Industries du caoutchouc et du plastique",37.9,NA,NA
"12",24,"2002Q3","Neuchâtel",2002-09-01,"CH 24-25 ..... Fabrication de produits métalliques",351.3,NA,NA
"13",24,"2002Q3","Neuchâtel",2002-09-01,"CI 26 ..... Fabrication de produits informatiques et électroniques; horlogerie",1351.2,NA,NA
"14",24,"2002Q3","Neuchâtel",2002-09-01,"CJ 27 ..... Fabrication d'équipements électriques",123.2,NA,NA
"15",24,"2002Q3","Neuchâtel",2002-09-01,"CK 28 ..... Fabrication de machines et équipements n.c.a.",305.3,NA,NA
"16",24,"2002Q3","Neuchâtel",2002-09-01,"CL 29-30 ..... Fabrication de matériels de transport",17.5,NA,NA
"17",24,"2002Q3","Neuchâtel",2002-09-01,"CM 31-33 ..... Autres industries manufacturières; réparation et installation",650.2,NA,NA
"18",24,"2002Q3","Neuchâtel",2002-09-01,"D 35 > Production et distribution d'énergie",4.7,NA,NA
"19",24,"2002Q3","Neuchâtel",2002-09-01,"E 36-39 > Production et distribution d'eau, gestion des déchets",0,NA,NA
"20",24,"2002Q3","Neuchâtel",2002-09-01,"F 41-43 > Construction",219.8,NA,NA
"21",24,"2002Q3","Neuchâtel",2002-09-01,"FA 41-42 ..... Construction de bâtiments et génie civil",67.8,NA,NA
