"","temporelle","temporelle1","geo","cat1","cat2","valeurs"
"1","1996Q1",1996-03-01,"Boudry","Total","Effectif",11.7
"2","1996Q1",1996-03-01,"Boudry","Total","Variation trimestrielle",NA
"3","1996Q1",1996-03-01,"Boudry","Total","Variation annuelle",NA
"4","1996Q1",1996-03-01,"Boudry","Total","Variation trimetrielle en %",NA
"5","1996Q1",1996-03-01,"Boudry","Total","Variation annuelle en %",NA
"6","1996Q2",1996-06-01,"Boudry","Total","Effectif",11.7
"7","1996Q2",1996-06-01,"Boudry","Total","Variation trimestrielle",0
"8","1996Q2",1996-06-01,"Boudry","Total","Variation annuelle",NA
"9","1996Q2",1996-06-01,"Boudry","Total","Variation trimetrielle en %",0
"10","1996Q2",1996-06-01,"Boudry","Total","Variation annuelle en %",NA
"11","1996Q3",1996-09-01,"Boudry","Total","Effectif",12.7
"12","1996Q3",1996-09-01,"Boudry","Total","Variation trimestrielle",1
"13","1996Q3",1996-09-01,"Boudry","Total","Variation annuelle",NA
"14","1996Q3",1996-09-01,"Boudry","Total","Variation trimetrielle en %",8.54700854700855
"15","1996Q3",1996-09-01,"Boudry","Total","Variation annuelle en %",NA
"16","1996Q4",1996-12-01,"Boudry","Total","Effectif",12.7
"17","1996Q4",1996-12-01,"Boudry","Total","Variation trimestrielle",0
"18","1996Q4",1996-12-01,"Boudry","Total","Variation annuelle",NA
"19","1996Q4",1996-12-01,"Boudry","Total","Variation trimetrielle en %",0
"20","1996Q4",1996-12-01,"Boudry","Total","Variation annuelle en %",NA
"21","1997Q1",1997-03-01,"Boudry","Total","Effectif",10.7
"22","1997Q1",1997-03-01,"Boudry","Total","Variation trimestrielle",-2
"23","1997Q1",1997-03-01,"Boudry","Total","Variation annuelle",-1
"24","1997Q1",1997-03-01,"Boudry","Total","Variation trimetrielle en %",-15.748031496063
"25","1997Q1",1997-03-01,"Boudry","Total","Variation annuelle en %",-8.54700854700855
"26","1997Q2",1997-06-01,"Boudry","Total","Effectif",10.7
"27","1997Q2",1997-06-01,"Boudry","Total","Variation trimestrielle",0
"28","1997Q2",1997-06-01,"Boudry","Total","Variation annuelle",-1
"29","1997Q2",1997-06-01,"Boudry","Total","Variation trimetrielle en %",0
"30","1997Q2",1997-06-01,"Boudry","Total","Variation annuelle en %",-8.54700854700855
"31","1997Q3",1997-09-01,"Boudry","Total","Effectif",10.7
"32","1997Q3",1997-09-01,"Boudry","Total","Variation trimestrielle",0
