"","SEX","RELIGION","MARITALSTATUS","parti","age"
"1",1,"121","2","VERTS",62.1232876712329
"2",1,"111","2","PSN",49.6054794520548
"3",2,"111","1","POP-SOL",49.3205479452055
"4",2,"711","2","POP-SOL",91.5013698630137
"5",2,"121","1","VERTS",22.2054794520548
"6",1,"121","2","PLR",45.0876712328767
"7",1,"121","2","VERTS",74.6164383561644
"8",1,"121","1","PLR",21.5150684931507
"9",2,"111","2","PLR",82.8356164383562
"10",1,"122","2","VERTS",33.7780821917808
"11",2,"811","1","PLR",21.3917808219178
"12",2,"111","2","VERTS",61.5260273972603
"13",1,"121","2","PLR",52.2246575342466
"14",2,"711","4","PLR",49.4082191780822
"15",1,"111","2","VERTS",81.1616438356164
"16",2,"711","2","PLR",36.9232876712329
"17",2,"711","4","PSN",49.4
"18",2,"121","4","PLR",45.6986301369863
"19",1,"111","2","PSN",69.3561643835616
"20",2,"711","2","PLR",43.5945205479452
"21",1,"711","4","PLR",37.0602739726027
"22",2,"111","2","PLR",57.7424657534247
"23",2,"121","2","PDC",81.2849315068493
"24",2,"121","1","PSN",25.8246575342466
"25",1,"811","2","POP-SOL",28.3013698630137
"26",2,"811","2","PLR",45.5287671232877
"27",1,"711","2","PSN",45.9095890410959
"28",2,"111","2","VERTS",54.5534246575342
"29",2,"0","4","PLR",58.3205479452055
"30",2,"711","2","PSN",34.9616438356164
"31",2,"711","1","VERTS",25.786301369863
"32",2,"121","4","UDC",42.1643835616438
"33",2,"811","2","VERTS",51.4876712328767
"34",2,"811","2","PLR",36.9835616438356
"35",2,"111","3","PSN",87.8876712328767
"36",2,"811","2","PLR",69.9945205479452
"37",1,"121","2","PLR",67.9315068493151
"38",1,"711","2","PSN",36.6821917808219
"39",2,"121","1","PDC",46.2027397260274
"40",2,"111","4","PLR",62.7945205479452
"41",1,"121","1","UDC",20.6383561643836
"42",2,"121","2","PLR",49.5150684931507
"43",1,"121","1","PLR",42.7616438356164
"44",2,"811","2","POP-SOL",43.1780821917808
"45",2,"711","1","PLR",33.3342465753425
"46",1,"811","2","PLR",48.5534246575342
"47",2,"121","2","POP-SOL",71.5205479452055
"48",2,"121","1","PLR",77.6356164383562
"49",1,"121","2","POP-SOL",48.4328767123288
"50",2,"0","2","UDC",45.1041095890411
"51",2,"711","4","PLR",59.1369863013699
"52",1,"711","2","UDC",73.9616438356164
"53",1,"711","4","PLR",57.0219178082192
"54",2,"111","3","UDC",84.6520547945206
"55",1,"111","2","PLR",80.3506849315068
"56",1,"711","2","VERT-LIB",43.2684931506849
"57",2,"121","4","PSN",59.5150684931507
"58",2,"811","2","PLR",39.0301369863014
"59",2,"711","1","VERTS",22.9890410958904
"60",1,"121","2","POP-SOL",70.4876712328767
"61",1,"111","1","UDC",20.1479452054795
"62",2,"711","2","VERTS",40.6739726027397
"63",2,"0","2","VERT-LIB",52.3095890410959
"64",1,"711","1","PSN",39.1369863013699
"65",1,"811","2","UDC",67.4164383561644
"66",1,"811","1","PLR",33.3643835616438
"67",2,"111","1","VERT-LIB",79.3013698630137
"68",1,"711","1","PSN",30.586301369863
"69",1,"711","2","PLR",37.9808219178082
"70",1,"121","2","PLR",53.5616438356164
"71",1,"711","2","PLR",55.0328767123288
"72",2,"111","2","PSN",71.5534246575343
